"29982","1793714","Department of Accident and Emergency Medicine, Royal Infirmary, Glasgow.; Department of Accident and Emergency Medicine, Royal Infirmary, Glasgow."," Morrison W G ; Pennycook A G"," Morrison W G ; Pennycook A G"," Morrison W G ; Pennycook A G"
"29983","1793715","Department of Urology, Stamford Hospital.; Department of Urology, Stamford Hospital."," Turner A G ; Cooke H"," Turner A G ; Cooke H"," Turner A G ; Cooke H"
"29984","1793716","Department of Medicine and Gastroenterology, Gwynedd District General Hospital, Bangor.; Department of Medicine and Gastroenterology, Gwynedd District General Hospital, Bangor."," Safe A F ; Owens D"," Safe A F ; Owens D"," Safe A F ; Owens D"
"29985","1793717","Leigh House Hospital, Chandler's Ford, Eastleigh, Hants.; Leigh House Hospital, Chandler's Ford, Eastleigh, Hants.; Leigh House Hospital, Chandler's Ford, Eastleigh, Hants.; Leigh House Hospital, Chandler's Ford, Eastleigh, Hants."," McCann J B ; James A ; Wilson S ; Dunn G"," McCann J B ; James A ; Wilson S ; Dunn G"," McCann J B ; James A ; Wilson S ; Dunn G"
"29986","1793718","Nowhere","Honegger H P","Honegger H P","Honegger H P"
"29987","1793719","Nowhere; Nowhere"," Hardy J R ; Baum M"," Hardy J R ; Baum M"," Hardy J R ; Baum M"
"29988","1793721","Department of Oncology, Rigshospitalet, Copenhagen, Denmark.; Department of Oncology, Rigshospitalet, Copenhagen, Denmark."," Nørgaard P ; Poulsen H S"," Nørgaard P ; Poulsen H S"," Nørgaard P ; Poulsen H S"
"29989","1793720","Drug Development Section, Institute of Cancer Research, Sutton, Surrey, UK.; Drug Development Section, Institute of Cancer Research, Sutton, Surrey, UK.; Drug Development Section, Institute of Cancer Research, Sutton, Surrey, UK."," Goddard P M ; Valenti M R ; Harrap K R"," Goddard P M ; Valenti M R ; Harrap K R"," Goddard P M ; Valenti M R ; Harrap K R"
"29990","1793722","Unit of Cancer Epidemiology, Department of Biomedical Science and Human Oncology, Turin, Italy.; Unit of Cancer Epidemiology, Department of Biomedical Science and Human Oncology, Turin, Italy."," Vineis P ; Faggiano F"," Vineis P ; Faggiano F"," Vineis P ; Faggiano F"
"29991","1793723","Leigh House Hospital, Chandler's Ford, Eastleigh, Hants.; Leigh House Hospital, Chandler's Ford, Eastleigh, Hants.; Leigh House Hospital, Chandler's Ford, Eastleigh, Hants.; Leigh House Hospital, Chandler's Ford, Eastleigh, Hants."," McCann J B ; James A ; Wilson S ; Dunn G"," McCann J B ; James A ; Wilson S ; Dunn G"," McCann J B ; James A ; Wilson S ; Dunn G"
